id,job_group,skill,sub_skill,title,description,url,type,level,language,free_or_paid,estimated_time,reliability,reason
DA001,데이터 분석가,Python,분석 기초,Python 공식 한국어 튜토리얼,Python 기본 문법과 표준 라이브러리를 한국어 공식 문서로 학습한다,https://docs.python.org/ko/3/tutorial/,공식문서,beginner,한국어,무료,6시간,5,잡코리아 데이터 분석가 공고에서 Python 요구가 반복됨
DA002,데이터 분석가,Python,입문 실습,인프런 Python 강의 모음,Python 입문과 실습 강의를 한국어로 찾아 학습한다,https://www.inflearn.com/ko/search?s=Python,강의,beginner,한국어,무료,8시간,3,Python 기초가 부족한 지원자에게 접근성 높은 한국어 강의 자료
DA003,데이터 분석가,SQL,분석 쿼리,프로그래머스 SQL 고득점 Kit,SQL SELECT JOIN GROUP BY 문제를 한국어 환경에서 실습한다,https://school.programmers.co.kr/learn/challenges?tab=sql_practice_kit,실습플랫폼,beginner,한국어,무료,3시간,4,잡코리아 데이터 분석 공고에서 SQL 요구가 반복됨
DA004,데이터 분석가,SQL,Pandas SQL,인프런 SQL 강의 모음,SQL과 데이터베이스 기초 강의를 한국어로 찾아 학습한다,https://www.inflearn.com/ko/search?s=SQL,강의,beginner,한국어,무료,3시간,3,SQL 역량을 실제 DB 학습으로 보완
DA005,데이터 분석가,Pandas,전처리,인프런 Pandas 강의 모음,Pandas 전처리와 분석 강의를 한국어로 찾아 학습한다,https://www.inflearn.com/ko/search?s=Pandas,강의,intermediate,한국어,무료,8시간,3,Python 데이터 처리 역량을 실제 분석 경험으로 연결
DA006,데이터 분석가,Pandas,실습,인프런 데이터 분석 강의 모음,데이터 분석 프로젝트와 EDA 강의를 한국어로 찾아 학습한다,https://www.inflearn.com/ko/search?s=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D,강의,intermediate,한국어,무료,10시간,3,분석 전처리와 EDA 부족 역량 보완
DA007,데이터 분석가,Tableau,BI 시각화,Tableau 한국어 시작 가이드,Tableau 대시보드와 시각화 기본 흐름을 한국어 도움말로 학습한다,https://help.tableau.com/current/pro/desktop/ko-kr/gettingstarted_overview.htm,공식문서,beginner,한국어,무료,4시간,5,잡코리아 데이터 분석 공고에서 Tableau가 반복됨
DA008,데이터 분석가,Power BI,BI 시각화,Microsoft Learn Power BI 한국어,Power BI 데이터 모델링과 리포트 제작을 한국어 학습 경로로 익힌다,https://learn.microsoft.com/ko-kr/training/powerplatform/power-bi,공식학습,beginner,한국어,무료,6시간,5,BI 도구 경험 요구에 대응
DA009,데이터 분석가,Excel,분석 실무,Microsoft Excel 도움말 및 학습,Excel 함수 피벗 테이블 차트 기본을 한국어로 정리한다,https://support.microsoft.com/ko-kr/excel,공식문서,beginner,한국어,무료,4시간,5,일반 데이터 분석 직무에서 여전히 쓰이는 기본 도구
DA010,데이터 분석가,R,통계 분석,오늘코드 데이터 분석 YouTube 검색,오늘코드의 Python 데이터 분석 관련 한국어 영상 자료를 찾아 학습한다,https://www.youtube.com/results?search_query=%EC%98%A4%EB%8A%98%EC%BD%94%EB%93%9C+%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D,유튜브,intermediate,한국어,무료,8시간,3,데이터 분석 입문자가 영상으로 따라가기 좋은 한국어 채널 자료
