job_id,title,full_text,job_group
JD_001, Finance AI (생성형 AI 시스템 개발) 신입,"[직무 설명]
- 생성형 AI 모델(오픈소스)을 활용한 온프레미스 AI 서비스 개발 및 운영
- RAG 기법을 적용한 서비스 개발
- 최신 AI 모델, Multimodal, RAG 등 기술 리서치와 당행 시스템 적용 검토 및 이행
[자격 요건]
- 컴퓨터공학, 소프트웨어, 정보보호, 데이터, AI 등 IT 계열 전공 또는 위 분야의 교육, 프로젝트 경험을 통한 기본 기술 역량 보유자
- 금융 산업 및 AI, 디지털 트렌드에 대한 관심 보유자
[우대 사항]
- 금융회사 및 IT 관련 기업 인턴 경험자 우대
- 금융, AI, IT, Data 관련 자격증 소지자 우대
- 알고리즘, 데이터 관리, 서버, 네트워크 등 지식 보유자",ai
JD_002, 인공지능 딥러닝 SW 개발 신입,"[직무 설명]
- AI/ML/LLM 기술 활용한 기업 문제 솔루션 연구 및 개발
- LLM, OCR, Multimodal 기술 연구 및 솔루션 적용
- 데이터 보안/개인정보 보호 솔루션에 AI 기능 적용 (LLM, 텍스트·이미지 이해 등의 문서 이해 기술 활용)
- Prompting, Agent 기술 활용한 기업 LLM 솔루션 개발
- 주요 기술: Deep Learning, Pytorch, HuggingFace, Transformer, Python, Prompting, Reinforcement Learning, OCR(Vision), LLM, Multimodal LLM, Image Generation
[자격 요건]
- 학사이상 기졸업자 및 2026년 8월 이내 졸업예정자
- 인턴십 기간 내 근무 가능한 자
[우대 사항]
-",ai
JD_003,AI Agent Engineer 신입,"[직무 설명]
- AI Agent 설계 및 개발
- 생성형 AI 기술/트렌드 연구 및 기술 솔루션 제공
[자격 요건]
- 학사 이상 기졸업자 또는 2026년 2월 졸업 예정자
- 입사일(2026년 1월 초)부터 계속 근무가 가능한 자
- 남자의 경우 병역필(면제자 포함)
- 국내(대한민국) 취업 및 해외 출장에 결격사유가 없는 자
- 영어 성적 필수 제출 (TOEIC, TOEIC Speaking, OPIc)
[우대 사항]
- Python 활용 능력",ai
JD_004,AI Agent 경력,"[직무 설명]
- LLM 서비스 및 Agent 개발 (Python, LangChain, LangGraph 활용)
- MCP/API를 통한 Legacy 시스템 연계 등
- 머신러닝 및 딥러닝 기반의 데이터 분석 및 모델링 PoC
- 모델 운영 및 고도화 과정에서의 기술적 문제 해결 지원
[자격 요건]
- 관련 분야 학사 학위 이상, Python 및 AI개발 프레임워크(PyTorch, Tensorflow 등) 활용 경력 2년 이상
- 클라우드 환경(AWS, GCP 등)에서의 모델 개발/운영 경험
- LLM 서비스 구현 및 Agent 개발 경험
[우대 사항]
- 머신러닝/딥러닝 분석 과제 실무 경험
- LLM/Agent 개발 실무 경험
- MLOps, 모델 서빙/배포, fine-tuning 관련 경험",ai
JD_005,AI Engineer 신입사원,"[직무 설명]
- 딥러닝 프레임워크 활용한 AI 기술 개발 및 프로젝트 수행
- Language AI 기술 기반 솔루션 개발 또는 Physical AI 개발
- Agent 기반 응용서비스 개발
[자격 요건]
- 국내·외 학사 학위 이상 소지자
[우대 사항]
- Python, PyTorch, TensorFlow 등 Language AI 개발 프로그래밍 능력
- LLM, Agent, RAG, Transformers 등의 기술에 대한 이해
- Physical AI 관련 기술에 대한 이해",ai
JD_006,AI for Science 기반구축 연구기술지원,"[직무 설명]
- 벡터 데이터베이스 구축, 운영, 관련 하드웨어 인프라 등 IT 시스템 운영
- 설치형 거대언어모델 구축 및 데이터베이스 인터페이스 개발, 연계
- 원내외 데이터베이스 연동 등 적정기술을 이용한 검색 증강 생성(RAG) 기반 정보 활용 시스템 개발
- AI Agent를 활용한 연구보조 서비스 개발 및 운영
- 문헌데이터 수집 및 분석 시스템 구축
[자격 요건]
- 국가공무원법 제33조의 결격사유가 없는 자
- 해외여행에 결격사유가 없는 자
- 병역의무대상자의 경우 지원서 접수 마감일 기준 병역을 필하였거나 면제된 자
- 공공기관에서 부정한 방법으로 채용된 사실이 없는 자
[우대 사항]
- 관계형 및 벡터 데이터베이스 기반 정보시스템 개발, 운영 경력자
- 설치형 거대언어모델 및 API 기반 프론티어 파운데이션 모델 활용 시스템 개발 경력자
- 파인튜닝 등 거대언어모델에 대한 높은 관심도와 이해도
- 분석데이터 등 연구데이터, 논문특허 등 연구문헌데이터 취급 경험자
- SCI논문 출판 및 특허 출원 경험자",ai
JD_007,AI/빅데이터 신입사원,"[직무 설명]
- AI·빅데이터 기반 예측 및 최적 의사결정 모델 개발
- 최적화 알고리즘을 활용한 물류거점 및 네트워크 설계
- 수배송 시뮬레이션 기반 운영 효율화
[자격 요건]
- 국내·외 학사 학위 이상 소지자 (기졸업자 및 2026년 8월 이내 졸업 예정자)
- 산업공학, 컴퓨터공학 등 유관 전공 석사 이상
[우대 사항]
-",ai
JD_008,AI연구 (AI미디어 개발) 인턴,"[직무 설명]
- AI 기반 광고 크리에이티브 자동 생성
- AI 기반 2D/3D/영상 게임 애셋 생성
[자격 요건]
- 기졸업자 또는 2026년 2월 졸업예정자
- 2026년 8월 졸업예정자의 경우, 인턴십 일정 및 정규직 정상 근무가 가능하신 분
- 딥러닝 프레임워크(PyTorch/TensorFlow 등) 기반 모델 개발 및 구현 역량
- 최신 AI 기술의 상용화 및 서비스 적용에 대한 높은 관심과 열정
[우대 사항]
- Vision/Graphics AI 분야 석사 이상 학위
- Generative AI/Multi-modal AI/3D Human Avatar 관련 R&D 및 서비스 개발 경험
- CVPR/ICCV/ECCV/SIGGRAPH/NeurIPS 등 Top-tier 학회 논문 발표 경력
- 언리얼(Unreal), 유니티(Unity) 등 게임 엔진 활용 경험",ai
JD_009,AX 신입 채용,"[직무 설명]
- 머신러닝/딥러닝 모델의 서비스 배포 및 운영 (MLOps)
- 데이터 파이프라인 구축 및 최적화
- 모델 성능 모니터링 및 개선
- API 및 백엔드 시스템과 AI 모델 연동
- 문제 정의 및 데이터 기반 전략 수립
- 머신러닝/딥러닝 모델 설계 및 개발
- 데이터 분석 및 피처 엔지니어링
- 실험 설계 및 결과 분석 (A/B 테스트 포함)
[자격 요건]
- 학사 또는 석사 학위 소지자 (컴퓨터공학, 통계학, 수학, 산업공학 등 관련 전공)
- Python 등 프로그래밍 언어 활용 능력
- 머신러닝/딥러닝 기본 개념 이해
- 문제 해결 능력 및 논리적 사고
[우대 사항]
- TensorFlow, PyTorch 등 프레임워크 활용 경험
- 데이터 분석 및 시각화 경험 (Pandas, SQL 등)
- 클라우드 환경 (AWS, GCP 등) 사용 경험
- 논문 구현 또는 프로젝트 경험
- 관련 인턴십 또는 실무 경험",ai
JD_010,AX/DX 인턴,"[직무 설명]
- AX(AI Transformation) 과제 기획 및 프로젝트 발굴
- 데이터 기반 성과 분석 및 인사이트 도출
- AI기반 기술 및 산업 동향 분석
[자격 요건]
- 산업공학, 통계학, 식품 관련 전공, 컴퓨터공학 등 AI·데이터 관련 전공 (2026년 2월 졸업자 포함, 즉시 근무 가능자)
- IT 관련 자격증 또는 AX(AI Transformation) 관련 자격증 보유자
[우대 사항]
- 석사 이상
- AI 프로젝트 경험 보유자",ai
